Ciudad,Fecha,Gestor,#,Etapa,Fuente,Sucursal,Categoría,kg,Usuario,Hora Registro,ID
Cali,3/14/2022,WERO,,Caracterización,Mr. Bross,Cali,Chatarra,0,,,55
Cali,3/14/2022,WERO,195,Recolección,Mr. Bross,La Flora,Mezclado,13,,,56
Cali,3/14/2022,WERO,,Caracterización,Mr. Bross,Cali,PEAD,1,,,57
Cali,3/14/2022,WERO,,Caracterización,Mr. Bross,Cali,PEBD,0.1,,,58
Cali,3/14/2022,WERO,,Caracterización,Mr. Bross,Cali,PET,1.5,,,59
Cali,3/14/2022,WERO,,Caracterización,Mr. Bross,Cali,Plegadiza,0.7,,,60
Cali,3/14/2022,WERO,,Caracterización,Mr. Bross,Cali,Vidrio,0,,,61
Cali,3/14/2022,WERO,,Caracterización,Tortelli,Cali,Aluminio,0,,,62
Cali,3/14/2022,WERO,,Caracterización,Tortelli,Cali,Archivo,0,,,63
Cali,3/14/2022,WERO,,Caracterización,Tortelli,Cali,Cartón,7.9,,,64
Cali,3/14/2022,WERO,,Caracterización,Tortelli,Cali,Chatarra,0,,,65
Cali,3/14/2022,WERO,190,Recolección,Tortelli,Palmas Mall,Mezclado,49.9,,,66
Cali,3/14/2022,WERO,193,Recolección,Tortelli,Peñón,Mezclado,2,,,67
Cali,3/14/2022,WERO,194,Recolección,Tortelli,Sta. Mónica,Mezclado,2,,,68
Cali,3/14/2022,WERO,,Caracterización,Tortelli,Cali,PEAD,0,,,69
Cali,3/14/2022,WERO,,Caracterización,Tortelli,Cali,PEBD,0,,,70
Cali,3/14/2022,WERO,,Caracterización,Tortelli,Cali,PET,0.3,,,71
Cali,3/14/2022,WERO,,Caracterización,Tortelli,Cali,Plegadiza,18.55,,,72
Cali,3/14/2022,WERO,,Caracterización,Tortelli,Cali,Vidrio,38.2,,,73
Cali,3/16/2022,WERO,250,Recolección,Mr. Bross,Bodega,Mezclado,4,,,74
Cali,3/16/2022,WERO,199,Recolección,Mr. Bross,La Flora,Mezclado,5,,,75
Cali,3/16/2022,WERO,200,Recolección,Mr. Bross,Parque del Perro,Mezclado,6,,,76
Cali,3/16/2022,WERO,252,Recolección,Tortelli,Palmas Mall,Mezclado,32.4,,,77
Cali,3/16/2022,WERO,196,Recolección,Tortelli,Peñón,Mezclado,7,,,78
Cali,3/16/2022,WERO,,Recolección,Tortelli,Sta. Mónica,Mezclado,,,,79
Cali,3/18/2022,WERO,257,Recolección,Mr. Bross,La Flora,Mezclado,7,,,80
Cali,3/18/2022,WERO,260,Recolección,Mr. Bross,Parque del Perro,Mezclado,2,,,81
Cali,3/18/2022,WERO,262,Recolección,Tortelli,Palmas Mall,Mezclado,23,,,82
Cali,3/18/2022,WERO,253,Recolección,Tortelli,Peñón,Mezclado,3,,,83
Cali,3/18/2022,WERO,256,Recolección,Tortelli,Sta. Mónica,Mezclado,55.3,,,84
Cali,3/21/2022,WERO,266,Recolección,Mr. Bross,La Flora,Mezclado,0,,,85
Cali,3/21/2022,WERO,268,Recolección,Tortelli,Palmas Mall,Mezclado,65.3,,,86
Cali,3/21/2022,WERO,264,Recolección,Tortelli,Peñón,Mezclado,0,,,87
Cali,3/21/2022,WERO,265,Recolección,Tortelli,Sta. Mónica,Mezclado,27,,,88
Cali,3/22/2022,WERO,,Caracterización,Tortelli,Cali,Aluminio,0,,,89
Cali,3/22/2022,WERO,,Caracterización,Tortelli,Cali,Archivo,0,,,90
Cali,3/22/2022,WERO,,Caracterización,Tortelli,Cali,Cartón,19.5,,,91
Cali,3/22/2022,WERO,,Caracterización,Tortelli,Cali,Chatarra,1.8,,,92
Cali,3/22/2022,WERO,,Caracterización,Tortelli,Cali,PEAD,0,,,93
Cali,3/22/2022,WERO,,Caracterización,Tortelli,Cali,PEBD,1.42,,,94
Cali,3/22/2022,WERO,,Caracterización,Tortelli,Cali,PET,1.2,,,95
Cali,3/22/2022,WERO,,Caracterización,Tortelli,Cali,Plegadiza,3.3,,,96
Cali,3/22/2022,WERO,,Caracterización,Tortelli,Cali,Vidrio,105.2,,,97
Cali,3/23/2022,WERO,274,Recolección,Mr. Bross,La Flora,Mezclado,20,,,98
Cali,3/23/2022,WERO,275,Recolección,Mr. Bross,Parque del Perro,Mezclado,7,,,99
Cali,3/23/2022,WERO,277,Recolección,Tortelli,Palmas Mall,Mezclado,40.2,,,100
Cali,3/23/2022,WERO,270,Recolección,Tortelli,Peñón,Mezclado,5.4,,,101
Cali,3/23/2022,WERO,273,Recolección,Tortelli,Sta. Mónica,Mezclado,19.8,,,102
Cali,3/25/2022,WERO,282,Recolección,Mr. Bross,La Flora,Mezclado,6,,,103
Cali,3/25/2022,WERO,284,Recolección,Mr. Bross,Parque del Perro,Mezclado,3,,,104
Cali,3/25/2022,WERO,286,Recolección,Tortelli,Palmas Mall,Mezclado,31.7,,,105
Cali,3/25/2022,WERO,,Recolección,Tortelli,Palmas Mall,Mezclado,,,,106
Cali,3/25/2022,WERO,279,Recolección,Tortelli,Peñón,Mezclado,1,,,107
Cali,3/25/2022,WERO,,Recolección,Tortelli,Sta. Mónica,Mezclado,,,,108
Cali,3/28/2022,WERO,,Caracterización,Mr. Bross,Cali,Aluminio,1.1,,,109
Cali,3/28/2022,WERO,,Caracterización,Mr. Bross,Cali,Archivo,0,,,110
Cali,3/28/2022,WERO,,Caracterización,Mr. Bross,Cali,Cartón,0,,,111
Cali,3/28/2022,WERO,,Caracterización,Mr. Bross,Cali,Chatarra,0,,,112
Cali,3/28/2022,WERO,290,Recolección,Mr. Bross,La Flora,Mezclado,14,,,113
Cali,3/28/2022,WERO,291,Recolección,Mr. Bross,Parque del Perro,Mezclado,0,,,114
Cali,3/28/2022,WERO,,Caracterización,Mr. Bross,Cali,PEAD,1,,,115
Cali,3/28/2022,WERO,,Caracterización,Mr. Bross,Cali,PEBD,1.1,,,116
Cali,3/28/2022,WERO,,Caracterización,Mr. Bross,Cali,PET,7.2,,,117
Cali,3/28/2022,WERO,,Caracterización,Mr. Bross,Cali,Plegadiza,1.8,,,118
Cali,3/28/2022,WERO,,Caracterización,Mr. Bross,Cali,Vidrio,0,,,119
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,Aluminio,0,,,120
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,Aluminio,0,,,121
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,Archivo,0,,,122
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,Archivo,0.5,,,123
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,Cartón,51.55,,,124
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,Cartón,12.3,,,125
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,Chatarra,17.75,,,126
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,Chatarra,3.55,,,127
Cali,3/28/2022,WERO,292,Recolección,Tortelli,Palmas Mall,Mezclado,62,,,128
Cali,3/28/2022,WERO,288,Recolección,Tortelli,Peñón,Mezclado,0,,,129
Cali,3/28/2022,WERO,289,Recolección,Tortelli,Sta. Mónica,Mezclado,25,,,130
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,PEAD,1.75,,,131
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,PEAD,0,,,132
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,PEBD,0.7,,,133
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,PEBD,0.3,,,134
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,PET,1.6,,,135
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,PET,0.85,,,136
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,Plegadiza,3.55,,,137
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,Plegadiza,1.9,,,138
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,Vidrio,266.7,,,139
Cali,3/28/2022,WERO,,Caracterización,Tortelli,Cali,Vidrio,141.4,,,140
Cali,3/29/2022,WERO,,Caracterización,Tortelli,Cali,Aluminio,0,,,141
Cali,3/29/2022,WERO,,Caracterización,Tortelli,Cali,Archivo,0,,,142
Cali,3/29/2022,WERO,,Caracterización,Tortelli,Cali,Cartón,1.45,,,143
Cali,3/29/2022,WERO,,Caracterización,Tortelli,Cali,Chatarra,0,,,144
Cali,3/29/2022,WERO,,Caracterización,Tortelli,Cali,PEAD,0,,,145
Cali,3/29/2022,WERO,,Caracterización,Tortelli,Cali,PEBD,0,,,146
Cali,3/29/2022,WERO,,Caracterización,Tortelli,Cali,PET,0.65,,,147
Cali,3/29/2022,WERO,,Caracterización,Tortelli,Cali,Plegadiza,0,,,148
Cali,3/29/2022,WERO,,Caracterización,Tortelli,Cali,Vidrio,,,,149
Cali,3/30/2022,WERO,300,Recolección,Mr. Bross,Bodega,Mezclado,0,,,150
Cali,3/30/2022,WERO,298,Recolección,Mr. Bross,La Flora,Mezclado,4,,,151
Cali,3/30/2022,WERO,299,Recolección,Mr. Bross,Parque del Perro,Mezclado,6,,,152
Cali,3/30/2022,WERO,302,Recolección,Tortelli,Palmas Mall,Mezclado,19.8,,,153
Cali,3/30/2022,WERO,294,Recolección,Tortelli,Peñón,Mezclado,0,,,154
Cali,3/30/2022,WERO,297,Recolección,Tortelli,Sta. Mónica,Mezclado,16,,,155
Cali,4/1/2022,WERO,307,Recolección,Mr. Bross,La Flora,Mezclado,8,,,156
Cali,4/1/2022,WERO,311,Recolección,Tortelli,Palmas Mall,Mezclado,25.4,,,157
Cali,4/1/2022,WERO,303,Recolección,Tortelli,Peñón,Mezclado,0,,,158
Cali,4/4/2022,WERO,318,Recolección,Mr. Bross,La Flora,Mezclado,18,,,159
Cali,4/4/2022,WERO,315,Recolección,Tortelli,Palmas Mall,Mezclado,72,,,160
Cali,4/4/2022,WERO,313,Recolección,Tortelli,Peñón,Mezclado,4,,,161
Cali,4/4/2022,WERO,317,Recolección,Tortelli,Sta. Mónica,Mezclado,32,,,162
Cali,4/5/2022,WERO,,Caracterización,Mr. Bross,Cali,Aluminio,0.8,,,163
Cali,4/5/2022,WERO,,Caracterización,Mr. Bross,Cali,Archivo,0,,,164
Cali,4/5/2022,WERO,,Caracterización,Mr. Bross,Cali,Cartón,1.7,,,165
Cali,4/5/2022,WERO,,Caracterización,Mr. Bross,Cali,Chatarra,0,,,166
Cali,4/5/2022,WERO,,Caracterización,Mr. Bross,Cali,PEAD,0.95,,,167
Cali,4/5/2022,WERO,,Caracterización,Mr. Bross,Cali,PEBD,2.4,,,168
Cali,4/5/2022,WERO,,Caracterización,Mr. Bross,Cali,PET,11.3,,,169
Cali,4/5/2022,WERO,,Caracterización,Mr. Bross,Cali,Plegadiza,3.55,,,170
Cali,4/5/2022,WERO,,Caracterización,Mr. Bross,Cali,Vidrio,7.5,,,171
Cali,4/5/2022,WERO,,Caracterización,Tortelli,Cali,Aluminio,0.7,,,172
Cali,4/5/2022,WERO,,Caracterización,Tortelli,Cali,Archivo,0.55,,,173
Cali,4/5/2022,WERO,,Caracterización,Tortelli,Cali,Cartón,0,,,174
Cali,4/5/2022,WERO,,Caracterización,Tortelli,Cali,Chatarra,0,,,175
Cali,4/5/2022,WERO,,Caracterización,Tortelli,Cali,PEAD,1.4,,,176
Cali,4/5/2022,WERO,,Caracterización,Tortelli,Cali,PEBD,3.3,,,177
Cali,4/5/2022,WERO,,Caracterización,Tortelli,Cali,PET,0,,,178
Cali,4/5/2022,WERO,,Caracterización,Tortelli,Cali,Plegadiza,1.1,,,179
Cali,4/5/2022,WERO,,Caracterización,Tortelli,Cali,Vidrio,208.29,,,180
Cali,4/6/2022,WERO,324,Recolección,Mr. Bross,Bodega,Mezclado,0,,,181
Cali,4/6/2022,WERO,322,Recolección,Mr. Bross,La Flora,Mezclado,5,,,182
Cali,4/6/2022,WERO,323,Recolección,Mr. Bross,Parque del Perro,Mezclado,6,,,183
Cali,4/6/2022,WERO,326,Recolección,Tortelli,Palmas Mall,Mezclado,25.1,,,184
Cali,4/6/2022,WERO,319,Recolección,Tortelli,Peñón,Mezclado,0,,,185
Cali,4/6/2022,WERO,321,Recolección,Tortelli,Sta. Mónica,Mezclado,21,,,186
Cali,4/8/2022,WERO,,Caracterización,Mr. Bross,Cali,Aluminio,0.5,,,187
Cali,4/8/2022,WERO,,Caracterización,Mr. Bross,Cali,Archivo,0,,,188
Cali,4/8/2022,WERO,,Caracterización,Mr. Bross,Cali,Cartón,0.9,,,189
Cali,4/8/2022,WERO,,Caracterización,Mr. Bross,Cali,Chatarra,0,,,190
Cali,4/8/2022,WERO,336,Recolección,Mr. Bross,Ciudad Jardín,Mezclado,32.55,,,191
Cali,4/8/2022,WERO,331,Recolección,Mr. Bross,La Flora,Mezclado,4,,,192
Cali,4/8/2022,WERO,334,Recolección,Mr. Bross,Parque del Perro,Mezclado,3,,,193
Cali,4/8/2022,WERO,,Caracterización,Mr. Bross,Cali,PEAD,2.2,,,194
Cali,4/8/2022,WERO,,Caracterización,Mr. Bross,Cali,PEBD,0.5,,,195
Cali,4/8/2022,WERO,,Caracterización,Mr. Bross,Cali,PET,6.3,,,196
Cali,4/8/2022,WERO,,Caracterización,Mr. Bross,Cali,Plegadiza,1.7,,,197
Cali,4/8/2022,WERO,,Caracterización,Mr. Bross,Cali,Vidrio,6.8,,,198
Cali,4/8/2022,WERO,,Caracterización,Tortelli,Cali,Aluminio,0,,,199
Cali,4/8/2022,WERO,,Caracterización,Tortelli,Cali,Archivo,0,,,200
Cali,4/8/2022,WERO,,Caracterización,Tortelli,Cali,Cartón,8.1,,,201
Cali,4/8/2022,WERO,,Caracterización,Tortelli,Cali,Chatarra,0,,,202
Cali,4/8/2022,WERO,327,Recolección,Tortelli,Peñón,Mezclado,2,,,203
Cali,4/8/2022,WERO,330,Recolección,Tortelli,Sta. Mónica,Mezclado,0,,,204
Cali,4/8/2022,WERO,,Caracterización,Tortelli,Cali,PEAD,0.8,,,205
Cali,4/8/2022,WERO,,Caracterización,Tortelli,Cali,PEBD,0,,,206
Cali,4/8/2022,WERO,,Caracterización,Tortelli,Cali,PET,0.4,,,207
Cali,4/8/2022,WERO,,Caracterización,Tortelli,Cali,Plegadiza,0,,,208
Cali,4/8/2022,WERO,,Caracterización,Tortelli,Cali,Vidrio,52.8,,,209
Cali,4/11/2022,WERO,,Caracterización,Mr. Bross,Cali,Aluminio,0.4,,,210
Cali,4/11/2022,WERO,,Caracterización,Mr. Bross,Cali,Archivo,0,,,211
Cali,4/11/2022,WERO,,Caracterización,Mr. Bross,Cali,Cartón,9.9,,,212
Cali,4/11/2022,WERO,,Caracterización,Mr. Bross,Cali,Chatarra,0,,,213
Cali,4/11/2022,WERO,364,Recolección,Mr. Bross,La Flora,Mezclado,15,,,214
Cali,4/11/2022,WERO,,Caracterización,Mr. Bross,Cali,PEAD,0.7,,,215
Cali,4/11/2022,WERO,,Caracterización,Mr. Bross,Cali,PEBD,2.1,,,216
Cali,4/11/2022,WERO,,Caracterización,Mr. Bross,Cali,PET,6.9,,,217
Cali,4/11/2022,WERO,,Caracterización,Mr. Bross,Cali,Plegadiza,1.2,,,218
Cali,4/11/2022,WERO,,Caracterización,Mr. Bross,Cali,Vidrio,0,,,219
Cali,4/11/2022,WERO,,Caracterización,Tortelli,Cali,Aluminio,0,,,220
Cali,4/11/2022,WERO,,Caracterización,Tortelli,Cali,Archivo,0,,,221
Cali,4/11/2022,WERO,,Caracterización,Tortelli,Cali,Cartón,0.9,,,222
Cali,4/11/2022,WERO,,Caracterización,Tortelli,Cali,Chatarra,0,,,223
Cali,4/11/2022,WERO,355,Recolección,Tortelli,Sta. Mónica,Mezclado,72,,,224
Cali,4/11/2022,WERO,,Caracterización,Tortelli,Cali,PEAD,0,,,225
Cali,4/11/2022,WERO,,Caracterización,Tortelli,Cali,PEBD,0,,,226
Cali,4/11/2022,WERO,,Caracterización,Tortelli,Cali,PET,0.4,,,227
Cali,4/11/2022,WERO,,Caracterización,Tortelli,Cali,Plegadiza,0,,,228
Cali,4/11/2022,WERO,,Caracterización,Tortelli,Cali,Vidrio,158.4,,,229
Cali,4/13/2022,WERO,360,Recolección,Tortelli,Palmas Mall,Mezclado,31.8,,,230
Cali,4/13/2022,WERO,354,Recolección,Tortelli,Sta. Mónica,Mezclado,17,,,231
Cali,4/15/2022,WERO,,Caracterización,Mr. Bross,Cali,Aluminio,0.9,,,232
Cali,4/15/2022,WERO,,Caracterización,Mr. Bross,Cali,Archivo,0.7,,,233
Cali,4/15/2022,WERO,,Caracterización,Mr. Bross,Cali,Cartón,2.1,,,234
Cali,4/15/2022,WERO,,Caracterización,Mr. Bross,Cali,Chatarra,0.8,,,235
Cali,4/15/2022,WERO,,Caracterización,Mr. Bross,Cali,PEAD,4.5,,,236
Cali,4/15/2022,WERO,,Caracterización,Mr. Bross,Cali,PEBD,1.4,,,237
Cali,4/15/2022,WERO,,Caracterización,Mr. Bross,Cali,PET,12.7,,,238
Cali,4/15/2022,WERO,,Caracterización,Mr. Bross,Cali,Plegadiza,4.6,,,239
Cali,4/15/2022,WERO,,Caracterización,Mr. Bross,Cali,Vidrio,5.8,,,240
Cali,4/15/2022,WERO,,Caracterización,Tortelli,Cali,Aluminio,0,,,241
Cali,4/15/2022,WERO,,Caracterización,Tortelli,Cali,Archivo,0,,,242
Cali,4/15/2022,WERO,,Caracterización,Tortelli,Cali,Cartón,16.1,,,243
Cali,4/15/2022,WERO,,Caracterización,Tortelli,Cali,Chatarra,0,,,244
Cali,4/15/2022,WERO,,Caracterización,Tortelli,Cali,PEAD,1.3,,,245
Cali,4/15/2022,WERO,,Caracterización,Tortelli,Cali,PEBD,0,,,246
Cali,4/15/2022,WERO,,Caracterización,Tortelli,Cali,PET,2.6,,,247
Cali,4/15/2022,WERO,,Caracterización,Tortelli,Cali,Plegadiza,0,,,248
Cali,4/15/2022,WERO,,Caracterización,Tortelli,Cali,Vidrio,119.8,,,249
Cali,4/16/2022,WERO,356,Recolección,Mr. Bross,La Flora,Mezclado,6,,,250
Cali,4/16/2022,WERO,372,Recolección,Mr. Bross,La Flora,Mezclado,14,,,251
Cali,4/16/2022,WERO,358,Recolección,Mr. Bross,Parque del Perro,Mezclado,7,,,252
Cali,4/16/2022,WERO,370,Recolección,Mr. Bross,Parque del Perro,Mezclado,5,,,253
Cali,4/16/2022,WERO,365,Recolección,Tortelli,Palmas Mall,Mezclado,35.05,,,254
Cali,4/16/2022,WERO,351,Recolección,Tortelli,Peñón,Mezclado,1.5,,,255
Cali,4/16/2022,WERO,367,Recolección,Tortelli,Peñón,Mezclado,4,,,256
Cali,4/16/2022,WERO,371,Recolección,Tortelli,Sta. Mónica,Mezclado,29.2,,,257
Cali,4/18/2022,WERO,373,Recolección,Mr. Bross,La Flora,Mezclado,7,,,258
Cali,4/18/2022,WERO,378,Recolección,Tortelli,Palmas Mall,Mezclado,40,,,259
Cali,4/18/2022,WERO,375,Recolección,Tortelli,Peñón,Mezclado,1.5,,,260
Cali,4/18/2022,WERO,374,Recolección,Tortelli,Sta. Mónica,Mezclado,20,,,261
Cali,4/20/2022,WERO,384,Recolección,Mr. Bross,La Flora,Mezclado,6,,,262
Cali,4/20/2022,WERO,385,Recolección,Mr. Bross,Parque del Perro,Mezclado,3.5,,,263
Cali,4/20/2022,WERO,386,Recolección,Tortelli,Palmas Mall,Mezclado,25.1,,,264
Cali,4/20/2022,WERO,379,Recolección,Tortelli,Peñón,Mezclado,31,,,265
Cali,4/20/2022,WERO,383,Recolección,Tortelli,Sta. Mónica,Mezclado,12,,,266
Cali,4/22/2022,WERO,,Caracterización,Mr. Bross,Cali,Aluminio,0.3,,,267
Cali,4/22/2022,WERO,,Caracterización,Mr. Bross,Cali,Archivo,3.5,,,268
Cali,4/22/2022,WERO,,Caracterización,Mr. Bross,Cali,Cartón,4.2,,,269
Cali,4/22/2022,WERO,,Caracterización,Mr. Bross,Cali,Chatarra,1.2,,,270
Cali,4/22/2022,WERO,392,Recolección,Mr. Bross,La Flora,Mezclado,3,,,271
Cali,4/22/2022,WERO,394,Recolección,Mr. Bross,Parque del Perro,Mezclado,4,,,272
Cali,4/22/2022,WERO,,Caracterización,Mr. Bross,Cali,PEAD,0,,,273
Cali,4/22/2022,WERO,,Caracterización,Mr. Bross,Cali,PEBD,1,,,274
Cali,4/22/2022,WERO,,Caracterización,Mr. Bross,Cali,PET,6.5,,,275
Cali,4/22/2022,WERO,,Caracterización,Mr. Bross,Cali,Plegadiza,4.6,,,276
Cali,4/22/2022,WERO,,Caracterización,Mr. Bross,Cali,Vidrio,0,,,277
Cali,4/22/2022,WERO,,Caracterización,Tortelli,Cali,Aluminio,0,,,278
Cali,4/22/2022,WERO,,Caracterización,Tortelli,Cali,Archivo,0,,,279
Cali,4/22/2022,WERO,,Caracterización,Tortelli,Cali,Cartón,16,,,280
Cali,4/22/2022,WERO,,Caracterización,Tortelli,Cali,Chatarra,3.6,,,281
Cali,4/22/2022,WERO,396,Recolección,Tortelli,Palmas Mall,Mezclado,27.05,,,282
Cali,4/22/2022,WERO,388,Recolección,Tortelli,Peñón,Mezclado,4,,,283
Cali,4/22/2022,WERO,391,Recolección,Tortelli,Sta. Mónica,Mezclado,8,,,284
Cali,4/22/2022,WERO,,Caracterización,Tortelli,Cali,PEAD,0.9,,,285
Cali,4/22/2022,WERO,,Caracterización,Tortelli,Cali,PEBD,0,,,286
Cali,4/22/2022,WERO,,Caracterización,Tortelli,Cali,PET,0,,,287
Cali,4/22/2022,WERO,,Caracterización,Tortelli,Cali,Plegadiza,0,,,288
Cali,4/22/2022,WERO,,Caracterización,Tortelli,Cali,Vidrio,118,,,289
Cali,4/25/2022,WERO,,Caracterización,Mr. Bross,Cali,Aluminio,0.2,,,290
Cali,4/25/2022,WERO,,Caracterización,Mr. Bross,Cali,Archivo,0,,,291
Cali,4/25/2022,WERO,,Caracterización,Mr. Bross,Cali,Cartón,1.6,,,292
Cali,4/25/2022,WERO,,Caracterización,Mr. Bross,Cali,Chatarra,5.9,,,293
Cali,4/25/2022,WERO,400,Recolección,Mr. Bross,La Flora,Mezclado,13,,,294
Cali,4/25/2022,WERO,,Caracterización,Mr. Bross,Cali,PEAD,3.1,,,295
Cali,4/25/2022,WERO,,Caracterización,Mr. Bross,Cali,PEBD,1.1,,,296
Cali,4/25/2022,WERO,,Caracterización,Mr. Bross,Cali,PET,6.3,,,297
Cali,4/25/2022,WERO,,Caracterización,Mr. Bross,Cali,Plegadiza,1.1,,,298
